Rank,Restaurant_ID,Restaurant_Name,City,Locality,Cuisines,Restaurant_Type,Rating,Votes,Approx_Cost_for_Two,Online_Order,Engagement_Score
1,ZOM1078,Masala Magic (Vas),Ahmedabad,Vastrapur,Mughlai,Delivery Only,5.0,4934,250,Yes,42.52
2,ZOM1034,Burger House (SG ),Ahmedabad,SG Highway,South Indian,Casual Dining,5.0,4749,1083,Yes,42.33
3,ZOM1724,Masala Magic (Vas),Ahmedabad,Vastrapur,Thai,Casual Dining,5.0,4633,1209,Yes,42.21
4,ZOM1250,Flavors Restaurant (Jay),Bangalore,Jayanagar,Mexican,Delivery Only,5.0,4621,558,Yes,42.19
5,ZOM1326,Royal Feast (Par),Kolkata,Park Street,Italian,Delivery Only,5.0,4574,580,Yes,42.14
6,ZOM1060,The Curry House (Civ),Jaipur,Civil Lines,Gujarati,Cafe,5.0,4560,1445,No,42.13
7,ZOM1346,Chaat Corner (Kor),Bangalore,Koramangala,Continental,Delivery Only,5.0,4438,743,Yes,41.99
8,ZOM1776,The Food Factory (Pra),Ahmedabad,Prahlad Nagar,Chinese,Dhaba,5.0,4110,526,Yes,41.61
9,ZOM1836,Idli House (Dwa),Delhi,Dwarka,Thai,Food Court,4.9,4878,713,No,41.61
10,ZOM1854,Saffron Kitchen (Ali),Lucknow,Aliganj,Gujarati,Casual Dining,4.9,4744,1314,Yes,41.48
11,ZOM1335,The Kebab Studio (Sec),Hyderabad,Secunderabad,Bengali,Bakery,4.9,4670,726,No,41.4
12,ZOM1813,Dosa Point (Sak),Delhi,Saket,Bengali,Bakery,5.0,3925,673,Yes,41.38
13,ZOM1842,Dosa Point (Dad),Mumbai,Dadar,North Indian,Fine Dining,5.0,3854,4897,Yes,41.29
14,ZOM1201,Olive Garden (Ali),Kolkata,Alipore,Continental,Delivery Only,5.0,3767,621,Yes,41.17
15,ZOM1619,Bombay Bites (Kor),Pune,Koregaon Park,Biryani,Casual Dining,5.0,3664,573,Yes,41.03
16,ZOM1132,Bombay Bites (Hau),Delhi,Hauz Khas,North Indian,Casual Dining,5.0,3517,1055,No,40.83
17,ZOM1435,The Curry House (Vim),Pune,Viman Nagar,Mughlai,Food Court,4.8,4844,552,Yes,40.73
18,ZOM1509,Bombay Bites (Mal),Jaipur,Malviya Nagar,Gujarati,Fine Dining,4.8,4763,3783,Yes,40.65
19,ZOM1921,The Grill House (MI ),Jaipur,MI Road,Continental,Bakery,5.0,3390,699,Yes,40.64
20,ZOM1468,Tikka Town (HSR),Bangalore,HSR Layout,Mexican,Quick Bites,4.8,4742,205,No,40.63
21,ZOM1543,South Kitchen (Civ),Jaipur,Civil Lines,Bengali,Bakery,4.9,3925,762,Yes,40.55
22,ZOM1979,The Pizza Place (And),Mumbai,Andheri,Gujarati,Fine Dining,4.8,4586,2789,No,40.47
23,ZOM1591,South Kitchen (Ann),Chennai,Anna Nagar,Gujarati,Food Court,4.8,4438,513,No,40.31
24,ZOM1542,Taste of India (Bal),Kolkata,Ballygunge,Mughlai,Quick Bites,4.9,3701,347,No,40.26
25,ZOM1154,Green Leaf Cafe (And),Mumbai,Andheri,Biryani,Cafe,4.8,4349,1419,No,40.21
26,ZOM1659,Green Leaf Cafe (Jay),Bangalore,Jayanagar,Biryani,Fine Dining,4.7,4917,4428,No,39.95
27,ZOM1141,Burger House (Ali),Kolkata,Alipore,Bengali,Quick Bites,4.7,4789,247,Yes,39.83
28,ZOM1433,Olive Garden (Sec),Hyderabad,Secunderabad,Italian,Delivery Only,4.8,4013,658,No,39.83
29,ZOM1690,Flavors Restaurant (Dad),Mumbai,Dadar,Thai,Quick Bites,5.0,2772,426,Yes,39.64
30,ZOM1940,Burger House (Jag),Jaipur,Jagatpura,Chinese,Dhaba,5.0,2740,599,Yes,39.58
31,ZOM1193,Desi Zaika (Juh),Mumbai,Juhu,South Indian,Bakery,4.8,3535,336,Yes,39.22
32,ZOM1096,Food Junction (Kar),Delhi,Karol Bagh,Biryani,Delivery Only,5.0,2494,715,No,39.11
33,ZOM1210,Burger House (Ali),Kolkata,Alipore,Bengali,Bakery,4.6,4915,460,Yes,39.1
34,ZOM1359,Saffron Kitchen (Ann),Chennai,Anna Nagar,Fast Food,Quick Bites,4.6,4909,337,Yes,39.1
35,ZOM1093,Food Junction (Gac),Hyderabad,Gachibowli,Biryani,Delivery Only,5.0,2484,540,No,39.09
36,ZOM1086,Olive Garden (Mal),Jaipur,Malviya Nagar,Biryani,Fine Dining,4.9,2843,3164,No,38.97
37,ZOM1406,Bombay Bites (HSR),Bangalore,HSR Layout,South Indian,Casual Dining,4.8,3343,1241,Yes,38.95
38,ZOM1284,The Food Factory (Sal),Kolkata,Salt Lake,Chinese,Food Court,4.7,3964,596,Yes,38.94
39,ZOM1784,Urban Bites (Hau),Delhi,Hauz Khas,Mexican,Quick Bites,4.9,2785,461,No,38.87
40,ZOM1947,Royal Feast (Kot),Pune,Kothrud,Biryani,Cafe,4.9,2735,473,Yes,38.78
41,ZOM1802,Taste of India (Aun),Pune,Aundh,Bengali,Quick Bites,4.7,3816,390,Yes,38.76
42,ZOM1946,The Biryani Bowl (SG ),Ahmedabad,SG Highway,Italian,Cafe,4.8,3201,782,Yes,38.74
43,ZOM1493,The Diner (Gac),Hyderabad,Gachibowli,Mexican,Fine Dining,4.6,4536,1898,Yes,38.73
44,ZOM1283,The Curry House (Man),Jaipur,Mansarovar,Gujarati,Bakery,4.6,4464,238,No,38.66
45,ZOM1442,Olive Garden (Vai),Jaipur,Vaishali Nagar,Gujarati,Bakery,4.9,2666,315,Yes,38.65
46,ZOM1372,Olive Garden (Ban),Mumbai,Bandra,Thai,Bakery,4.7,3719,719,Yes,38.64
47,ZOM1598,Chaat Corner (Sal),Kolkata,Salt Lake,Gujarati,Casual Dining,4.7,3705,859,Yes,38.62
48,ZOM1569,Punjabi Tadka (Vas),Ahmedabad,Vastrapur,Bengali,Fine Dining,4.8,3053,4227,Yes,38.52
49,ZOM1361,South Kitchen (Kar),Delhi,Karol Bagh,South Indian,Food Court,5.0,2174,346,Yes,38.42
50,ZOM1875,Idli House (Whi),Bangalore,Whitefield,Chinese,Bakery,4.6,4169,328,Yes,38.34
